,Auteur,Ouvrage,Page,WER_Gallica,WER_Tesseract,WER_out,CER_Gallica,CER_Tesseract,CER_out,JAC_Ref,JAC_Gallica,JAC_Tesseract,JAC_out
0,Léon_Bloy,lettres_à_Pierre_Termier,017,6.95,17.52,2.67,7.73,29.55,7.91,0.0272,0.0258,0.0249,0.027
1,Léon_Bloy,lettres_à_Pierre_Termier,018,4.6,8.83,3.19,3.79,17.24,6.87,0.0204,0.0201,0.0198,0.0204
2,Léon_Bloy,lettres_à_Pierre_Termier,019,4.23,12.83,2.6,6.57,25.38,7.38,0.0207,0.0203,0.0192,0.0206
3,Léon_Bloy,Entrepreneur_de_démolitions,013,7.62,3.25,3.65,39.5,12.35,15.34,0.0298,0.0287,0.0286,0.0291
4,Léon_Bloy,Entrepreneur_de_démolitions,014,5.28,1.87,2.14,27.48,7.89,10.82,0.0132,0.0128,0.0129,0.0119
5,Léon_Bloy,Entrepreneur_de_démolitions,015,5.06,1.98,1.87,28.8,9.18,9.18,0.0138,0.0134,0.0138,0.0136
6,Léon_Bloy,Les_funérailles_du_naturalisme,23,,2.09,1.68,28.8,6.02,4.85,0.0265,0.0134,0.0264,0.0264
7,Léon_Bloy,Les_funérailles_du_naturalisme,24,,1.71,1.88,28.8,5.0,8.0,0.0193,0.0134,0.0192,0.0188
8,Léon_Bloy,Les_funérailles_du_naturalisme,25,,2.82,1.69,28.8,10.05,7.49,0.0239,0.0134,0.0237,0.0233
9,Léon_Bloy,Le_salut_par_les_juifs,012,4.33,2.9,1.81,10.92,14.17,9.24,0.0325,0.0317,0.0323,0.0324
10,Léon_Bloy,Le_salut_par_les_juifs,013,6.88,8.22,2.34,11.35,15.1,6.7,0.0213,0.0205,0.0206,0.0212
11,Léon_Bloy,Le_salut_par_les_juifs,014,25.38,27.38,3.5,30.14,32.0,14.04,0.0706,0.0598,0.0579,0.0684
12,Léon_Bloy,Exégèse_des_lieux_communs,009,6.51,4.97,1.87,7.45,8.64,8.97,0.0302,0.0285,0.0295,0.0295
13,Léon_Bloy,Exégèse_des_lieux_communs,011,2.82,1.37,1.11,2.08,7.29,6.25,0.0227,0.0214,0.0223,0.0223
14,Léon_Bloy,Exégèse_des_lieux_communs,012,4.89,4.14,1.91,7.53,13.93,11.81,0.0176,0.0164,0.0174,0.0173
15,Léon_Bloy,Christophe_Colomb_devant_les_taureaux,013,5.75,4.65,3.03,13.33,15.56,13.19,0.046,0.0434,0.0456,0.0459
16,Léon_Bloy,Christophe_Colomb_devant_les_taureaux,014,8.34,1.97,1.65,10.27,7.09,9.93,0.0278,0.0238,0.0265,0.0266
17,Léon_Bloy,Christophe_Colomb_devant_les_taureaux,015,7.43,7.01,1.71,11.43,13.61,5.84,0.0253,0.0231,0.0239,0.0246
18,Léon_Bloy,Je_m_accuse,013,8.11,10.76,4.65,49.57,29.21,21.35,0.0397,0.0378,0.0407,0.0377
19,Léon_Bloy,Je_m_accuse,014,8.29,4.3,2.93,31.71,16.28,11.7,0.0258,0.024,0.0236,0.0241
20,Léon_Bloy,Je_m_accuse,015,8.91,3.69,4.17,37.27,16.67,20.69,0.0243,0.023,0.0233,0.0233
21,Georges_Bernanos,le_chemin_de_la_croix_des_ames,006,,1.77,1.77,37.27,8.24,7.53,0.0177,0.023,0.0177,0.0177
22,Georges_Bernanos,le_chemin_de_la_croix_des_ames,007,,1.88,1.75,37.27,8.47,7.26,0.0117,0.023,0.0117,0.0117
23,Georges_Bernanos,le_chemin_de_la_croix_des_ames,008,,1.01,0.93,37.27,4.27,4.04,0.0108,0.023,0.0106,0.0106
24,Georges_Bernanos,la_france_contre_les_robots,019,,8.74,4.77,37.27,20.21,17.65,0.0538,0.023,0.0519,0.0538
25,Georges_Bernanos,la_france_contre_les_robots,020,,1.43,1.63,37.27,5.65,7.39,0.0246,0.023,0.0246,0.0246
26,Georges_Bernanos,la_france_contre_les_robots,021,,2.55,2.45,37.27,10.78,10.18,0.0235,0.023,0.0231,0.0225
27,Georges_Bernanos,scandale_de_la_verite,17,,16.05,2.04,37.27,30.93,9.59,0.031,0.023,0.0285,0.0303
28,Georges_Bernanos,scandale_de_la_verite,18,,1.91,1.65,37.27,8.06,8.6,0.022,0.023,0.0219,0.022
29,Georges_Bernanos,scandale_de_la_verite,19,,2.27,2.01,37.27,10.65,10.65,0.0211,0.023,0.021,0.021
